question,answer
What is 49 times 97?,4753
What is 53 times 5?,265
What is 33 times 65?,2145
What is 62 times 51?,3162
What is 38 times 61?,2318
What is 45 times 74?,3330
What is 27 times 64?,1728
What is 17 times 36?,612
What is 17 times 96?,1632
What is 12 times 79?,948
What is 32 times 68?,2176
What is 90 times 77?,6930
What is 18 times 39?,702
What is 12 times 93?,1116
What is 9 times 87?,783
What is 42 times 60?,2520
What is 71 times 12?,852
What is 45 times 55?,2475
What is 40 times 78?,3120
What is 81 times 26?,2106
What is 70 times 61?,4270
What is 56 times 66?,3696
What is 33 times 7?,231
What is 70 times 1?,70
What is 11 times 92?,1012
What is 51 times 90?,4590
What is 85 times 80?,6800
What is 0 times 78?,0
What is 63 times 42?,2646
What is 31 times 93?,2883
What is 41 times 90?,3690
What is 8 times 24?,192
What is 72 times 28?,2016
What is 30 times 18?,540
What is 69 times 57?,3933
What is 11 times 10?,110
What is 40 times 65?,2600
What is 62 times 13?,806
What is 38 times 70?,2660
What is 37 times 90?,3330
What is 15 times 70?,1050
What is 42 times 69?,2898
What is 26 times 77?,2002
What is 70 times 75?,5250
What is 36 times 56?,2016
What is 11 times 76?,836
What is 49 times 40?,1960
What is 73 times 30?,2190
What is 37 times 23?,851
What is 24 times 23?,552
What is 4 times 78?,312
What is 84 times 33?,2772
What is 60 times 8?,480
What is 11 times 86?,946
What is 96 times 16?,1536
What is 19 times 4?,76
What is 10 times 89?,890
What is 69 times 87?,6003
What is 50 times 90?,4500
What is 67 times 35?,2345
What is 66 times 30?,1980
What is 27 times 86?,2322
What is 75 times 53?,3975
What is 74 times 35?,2590
What is 57 times 63?,3591
What is 84 times 82?,6888
What is 89 times 45?,4005
What is 10 times 41?,410
What is 78 times 14?,1092
What is 62 times 75?,4650
What is 80 times 42?,3360
What is 24 times 31?,744
What is 2 times 93?,186
What is 34 times 14?,476
What is 90 times 28?,2520
What is 47 times 21?,987
What is 42 times 54?,2268
What is 7 times 12?,84
What is 18 times 89?,1602
What is 28 times 5?,140
What is 73 times 81?,5913
What is 68 times 77?,5236
What is 87 times 9?,783
What is 3 times 15?,45
What is 81 times 24?,1944
What is 77 times 73?,5621
What is 15 times 50?,750
What is 11 times 47?,517
What is 14 times 4?,56
What is 77 times 2?,154
What is 24 times 23?,552
What is 91 times 15?,1365
What is 61 times 26?,1586
What is 93 times 7?,651
What is 86 times 2?,172
What is 69 times 54?,3726
What is 79 times 12?,948
What is 33 times 8?,264
What is 28 times 9?,252
What is 82 times 38?,3116
What is 44 times 55?,2420
