source,model,tag,helper_tag,n_shots,accuracy,n_correct,total
results/arithmetics/answer_to_prompt/davinci_1DC_0_100_1DC_prompt_answer.jsonl,davinci,1DC,1DC,0,0.52,52,100
results/arithmetics/answer_to_prompt/davinci_1DC_1_100_1DC_prompt_answer.jsonl,davinci,1DC,1DC,1,0.46,46,100
results/arithmetics/answer_to_prompt/davinci_2D+_0_100_2D+_prompt_answer.jsonl,davinci,2D+,2D+,0,0.99,99,100
results/arithmetics/answer_to_prompt/davinci_2D+_1_100_2D+_prompt_answer.jsonl,davinci,2D+,2D+,1,0.95,95,100
results/arithmetics/answer_to_prompt/davinci_2D-_0_100_2D-_prompt_answer.jsonl,davinci,2D-,2D-,0,0.48,48,100
results/arithmetics/answer_to_prompt/davinci_2D-_1_100_2D-_prompt_answer.jsonl,davinci,2D-,2D-,1,0.46,46,100
results/arithmetics/answer_to_prompt/davinci_2Dx_0_100_2Dx_prompt_answer.jsonl,davinci,2Dx,2Dx,0,0.41,41,100
results/arithmetics/answer_to_prompt/davinci_2Dx_1_100_2Dx_prompt_answer.jsonl,davinci,2Dx,2Dx,1,0.46,46,100
results/arithmetics/answer_to_prompt/davinci_3D+_0_100_3D+_prompt_answer.jsonl,davinci,3D+,3D+,0,0.64,64,100
results/arithmetics/answer_to_prompt/davinci_3D+_1_100_3D+_prompt_answer.jsonl,davinci,3D+,3D+,1,0.75,75,100
results/arithmetics/answer_to_prompt/davinci_3D-_0_100_3D-_prompt_answer.jsonl,davinci,3D-,3D-,0,0.41,41,100
results/arithmetics/answer_to_prompt/davinci_3D-_1_100_3D-_prompt_answer.jsonl,davinci,3D-,3D-,1,0.36,36,100
results/arithmetics/answer_to_prompt/davinci_4D+_0_100_4D+_prompt_answer.jsonl,davinci,4D+,4D+,0,0.27,27,100
results/arithmetics/answer_to_prompt/davinci_4D+_1_100_4D+_prompt_answer.jsonl,davinci,4D+,4D+,1,0.26,26,100
results/arithmetics/answer_to_prompt/davinci_4D-_0_100_4D-_prompt_answer.jsonl,davinci,4D-,4D-,0,0.15,15,100
results/arithmetics/answer_to_prompt/davinci_4D-_1_100_4D-_prompt_answer.jsonl,davinci,4D-,4D-,1,0.19,19,100
results/arithmetics/answer_to_prompt/davinci_5D+_0_100_5D+_prompt_answer.jsonl,davinci,5D+,5D+,0,0.12,12,100
results/arithmetics/answer_to_prompt/davinci_5D+_1_100_5D+_prompt_answer.jsonl,davinci,5D+,5D+,1,0.11,11,100
results/arithmetics/answer_to_prompt/davinci_5D-_0_100_5D-_prompt_answer.jsonl,davinci,5D-,5D-,0,0.06,6,100
results/arithmetics/answer_to_prompt/davinci_5D-_1_100_5D-_prompt_answer.jsonl,davinci,5D-,5D-,1,0.09,9,100
