source,model,tag,helper_tag,n_shots,accuracy,n_correct,total
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_2D+_prompt_answer.jsonl,davinci,1DC,2D+,1,0.45,45,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_2D-_prompt_answer.jsonl,davinci,1DC,2D-,1,0.57,57,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_2Dx_prompt_answer.jsonl,davinci,1DC,2Dx,1,0.49,49,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_3D+_prompt_answer.jsonl,davinci,1DC,3D+,1,0.51,51,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_3D-_prompt_answer.jsonl,davinci,1DC,3D-,1,0.45,45,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_4D+_prompt_answer.jsonl,davinci,1DC,4D+,1,0.45,45,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_4D-_prompt_answer.jsonl,davinci,1DC,4D-,1,0.43,43,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_5D+_prompt_answer.jsonl,davinci,1DC,5D+,1,0.44,44,100
results/arithmetics/answer_to_prompt_across_tags/davinci_1DC_1_100_5D-_prompt_answer.jsonl,davinci,1DC,5D-,1,0.46,46,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_1DC_prompt_answer.jsonl,davinci,2D+,1DC,1,0.96,96,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_2D-_prompt_answer.jsonl,davinci,2D+,2D-,1,0.97,97,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_2Dx_prompt_answer.jsonl,davinci,2D+,2Dx,1,0.96,96,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_3D+_prompt_answer.jsonl,davinci,2D+,3D+,1,0.92,92,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_3D-_prompt_answer.jsonl,davinci,2D+,3D-,1,0.98,98,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_4D+_prompt_answer.jsonl,davinci,2D+,4D+,1,0.92,92,100
results/arithmetics/answer_to_prompt_across_tags/davinci_2D+_1_100_4D-_prompt_answer.jsonl,davinci,2D+,4D-,1,0.97,97,100
