source,model,tag,helper_tag,n_shots,accuracy,n_correct,total
results/arithmetics/base/ada_2D+_0_100.jsonl,ada,2D+,2D+,0,0.01,1,100
results/arithmetics/base/ada_2D+_1_100.jsonl,ada,2D+,2D+,1,0.03,3,100
results/arithmetics/base/ada_2D+_2_100.jsonl,ada,2D+,2D+,2,0.0,0,100
results/arithmetics/base/ada_2D+_3_100.jsonl,ada,2D+,2D+,3,0.0,0,100
results/arithmetics/base/ada_2D-_0_100.jsonl,ada,2D-,2D-,0,0.0,0,100
results/arithmetics/base/ada_2D-_1_100.jsonl,ada,2D-,2D-,1,0.0,0,100
results/arithmetics/base/ada_2D-_2_100.jsonl,ada,2D-,2D-,2,0.04,4,100
results/arithmetics/base/davinci_1DC_0_100.jsonl,davinci,1DC,1DC,0,0.16,16,100
results/arithmetics/base/davinci_1DC_1_100.jsonl,davinci,1DC,1DC,1,0.32,32,100
results/arithmetics/base/davinci_1DC_1_100_2D+.jsonl,davinci,1DC,2D+,1,0.33,33,100
results/arithmetics/base/davinci_1DC_1_100_2D-.jsonl,davinci,1DC,2D-,1,0.24,24,100
results/arithmetics/base/davinci_1DC_1_100_2Dx.jsonl,davinci,1DC,2Dx,1,0.3,30,100
results/arithmetics/base/davinci_1DC_1_100_3D+.jsonl,davinci,1DC,3D+,1,0.25,25,100
results/arithmetics/base/davinci_1DC_1_100_3D-.jsonl,davinci,1DC,3D-,1,0.24,24,100
results/arithmetics/base/davinci_1DC_1_100_4D+.jsonl,davinci,1DC,4D+,1,0.26,26,100
results/arithmetics/base/davinci_1DC_1_100_4D-.jsonl,davinci,1DC,4D-,1,0.29,29,100
results/arithmetics/base/davinci_1DC_1_100_5D+.jsonl,davinci,1DC,5D+,1,0.31,31,100
results/arithmetics/base/davinci_1DC_1_100_5D-.jsonl,davinci,1DC,5D-,1,0.23,23,100
results/arithmetics/base/davinci_1DC_2_100.jsonl,davinci,1DC,1DC,2,0.3,30,100
results/arithmetics/base/davinci_1DC_3_100.jsonl,davinci,1DC,1DC,3,0.33,33,100
results/arithmetics/base/davinci_2D+_0_100.jsonl,davinci,2D+,2D+,0,0.91,91,100
results/arithmetics/base/davinci_2D+_1_100.jsonl,davinci,2D+,2D+,1,0.96,96,100
results/arithmetics/base/davinci_2D+_1_100_1DC.jsonl,davinci,2D+,1DC,1,0.93,93,100
results/arithmetics/base/davinci_2D+_1_100_2D-.jsonl,davinci,2D+,2D-,1,0.97,97,100
results/arithmetics/base/davinci_2D+_1_100_2Dx.jsonl,davinci,2D+,2Dx,1,0.96,96,100
results/arithmetics/base/davinci_2D+_1_100_3D+.jsonl,davinci,2D+,3D+,1,0.97,97,100
results/arithmetics/base/davinci_2D+_1_100_3D-.jsonl,davinci,2D+,3D-,1,0.98,98,100
results/arithmetics/base/davinci_2D+_1_100_4D+.jsonl,davinci,2D+,4D+,1,0.95,95,100
results/arithmetics/base/davinci_2D+_1_100_4D-.jsonl,davinci,2D+,4D-,1,0.95,95,100
results/arithmetics/base/davinci_2D+_1_100_5D+.jsonl,davinci,2D+,5D+,1,0.97,97,100
results/arithmetics/base/davinci_2D+_1_100_5D-.jsonl,davinci,2D+,5D-,1,0.99,99,100
results/arithmetics/base/davinci_2D+_2_100.jsonl,davinci,2D+,2D+,2,0.91,91,100
results/arithmetics/base/davinci_2D+_3_100.jsonl,davinci,2D+,2D+,3,0.88,88,100
results/arithmetics/base/davinci_2D-_0_100.jsonl,davinci,2D-,2D-,0,0.48,48,100
results/arithmetics/base/davinci_2D-_1_100.jsonl,davinci,2D-,2D-,1,0.49,49,100
results/arithmetics/base/davinci_2D-_1_100_1DC.jsonl,davinci,2D-,1DC,1,0.5,50,100
results/arithmetics/base/davinci_2D-_1_100_2D+.jsonl,davinci,2D-,2D+,1,0.49,49,100
results/arithmetics/base/davinci_2D-_1_100_2Dx.jsonl,davinci,2D-,2Dx,1,0.49,49,100
results/arithmetics/base/davinci_2D-_1_100_3D+.jsonl,davinci,2D-,3D+,1,0.5,50,100
results/arithmetics/base/davinci_2D-_1_100_3D-.jsonl,davinci,2D-,3D-,1,0.48,48,100
results/arithmetics/base/davinci_2D-_1_100_4D+.jsonl,davinci,2D-,4D+,1,0.47,47,100
results/arithmetics/base/davinci_2D-_1_100_4D-.jsonl,davinci,2D-,4D-,1,0.46,46,100
results/arithmetics/base/davinci_2D-_1_100_5D+.jsonl,davinci,2D-,5D+,1,0.49,49,100
