index,accuracy,n_correct,total
results/arithmetics/ada_2D+_0_100.jsonl,0.01,1,100
results/arithmetics/ada_2D+_1_100.jsonl,0.03,3,100
results/arithmetics/ada_2D+_2_100.jsonl,0.0,0,100
results/arithmetics/ada_2D+_3_100.jsonl,0.0,0,100
results/arithmetics/ada_2D-_0_100.jsonl,0.0,0,100
results/arithmetics/ada_2D-_1_100.jsonl,0.0,0,100
results/arithmetics/ada_2D-_2_100.jsonl,0.04,4,100
results/arithmetics/davinci_1DC_0_100.jsonl,0.16,16,100
results/arithmetics/davinci_1DC_1_100.jsonl,0.32,32,100
results/arithmetics/davinci_1DC_2_100.jsonl,0.3,30,100
results/arithmetics/davinci_1DC_3_100.jsonl,0.33,33,100
results/arithmetics/davinci_2D+_0_100.jsonl,0.91,91,100
results/arithmetics/davinci_2D+_1_100.jsonl,0.96,96,100
results/arithmetics/davinci_2D+_2_100.jsonl,0.91,91,100
results/arithmetics/davinci_2D+_3_100.jsonl,0.88,88,100
results/arithmetics/davinci_2D-_0_100.jsonl,0.48,48,100
results/arithmetics/davinci_2D-_1_100.jsonl,0.49,49,100
results/arithmetics/davinci_2D-_2_100.jsonl,0.48,48,100
results/arithmetics/davinci_2D-_3_100.jsonl,0.45,45,100
results/arithmetics/davinci_2Dx_0_100.jsonl,0.35,35,100
results/arithmetics/davinci_2Dx_1_100.jsonl,0.52,52,100
results/arithmetics/davinci_2Dx_2_100.jsonl,0.41,41,100
results/arithmetics/davinci_2Dx_3_100.jsonl,0.46,46,100
results/arithmetics/davinci_3D+_0_100.jsonl,0.49,49,100
results/arithmetics/davinci_3D+_1_100.jsonl,0.76,76,100
results/arithmetics/davinci_3D+_2_100.jsonl,0.75,75,100
results/arithmetics/davinci_3D+_3_100.jsonl,0.77,77,100
results/arithmetics/davinci_3D-_0_100.jsonl,0.3,30,100
results/arithmetics/davinci_3D-_1_100.jsonl,0.45,45,100
results/arithmetics/davinci_3D-_2_100.jsonl,0.47,47,100
results/arithmetics/davinci_3D-_3_100.jsonl,0.44,44,100
results/arithmetics/davinci_4D+_0_100.jsonl,0.17,17,100
results/arithmetics/davinci_4D+_1_100.jsonl,0.37,37,100
results/arithmetics/davinci_4D+_2_100.jsonl,0.28,28,100
results/arithmetics/davinci_4D+_3_100.jsonl,0.27,27,100
results/arithmetics/davinci_4D-_0_100.jsonl,0.1,10,100
results/arithmetics/davinci_4D-_1_100.jsonl,0.25,25,100
results/arithmetics/davinci_4D-_2_100.jsonl,0.24,24,100
results/arithmetics/davinci_4D-_3_100.jsonl,0.22,22,100
results/arithmetics/davinci_5D+_0_100.jsonl,0.1,10,100
results/arithmetics/davinci_5D+_1_100.jsonl,0.08,8,100
results/arithmetics/davinci_5D+_2_100.jsonl,0.07,7,100
results/arithmetics/davinci_5D+_3_100.jsonl,0.07,7,100
results/arithmetics/davinci_5D-_0_100.jsonl,0.05,5,100
results/arithmetics/davinci_5D-_1_100.jsonl,0.12,12,100
results/arithmetics/davinci_5D-_2_100.jsonl,0.13,13,100
results/arithmetics/davinci_5D-_3_100.jsonl,0.07,7,100
